Time, Value
36373, 172.57
36383, 173.6
36392, 173.42
36402, 173.42
36413, 172.81
36427, 172.59
36437, 172.67
36446, 172.67
36457, 172.59
36466, 172.59
36474, 172.34
36482, 172.43
36493, 172.43
36503, 172.59
36511, 172.59
36523, 172.56
36533, 172.22
36541, 172.22
36553, 172.67
36562, 172.79
36570, 172.79
